i, time, j, k
5,0.08178091049194336,53,1945
5,0.11968779563903809,49,1945
5,0.07679581642150879,56,1945
5,0.06482601165771484,45,1945
5,0.0797874927520752,41,1945
5,0.07280445098876953,39,1945
5,0.0797874927520752,57,1945
5,0.07280516624450684,47,1945
5,0.06881427764892578,47,1945
10,0.07380080223083496,65,1945
10,0.07983183860778809,69,1945
10,0.08477044105529785,59,1945
10,0.07380032539367676,80,1945
10,0.10172820091247559,77,1945
10,0.08577442169189453,69,1945
10,0.09677577018737793,89,1945
10,0.10467720031738281,83,1945
10,0.08974981307983398,77,1945
50,0.2074422836303711,331,1945
50,0.19347357749938965,351,1945
50,0.18650054931640625,334,1945
50,0.17255043983459473,316,1945
50,0.1715860366821289,323,1945
50,0.27726316452026367,339,1945
50,0.1795198917388916,318,1945
50,0.20151090621948242,307,1945
50,0.16155147552490234,331,1945
100,0.3679647445678711,672,1945
100,0.30623388290405273,635,1945
100,0.2623004913330078,615,1945
100,0.26628804206848145,656,1945
100,0.267284631729126,658,1945
100,0.35205507278442383,645,1945
100,0.28024983406066895,659,1945
100,0.364030122756958,663,1945
100,0.2613565921783447,728,1945
500,0.9814314842224121,3938,1945
500,0.9275197982788086,3920,1945
500,0.924537181854248,3967,1945
500,0.9474680423736572,4029,1945
500,0.9744462966918945,4041,1945
500,0.9026389122009277,3963,1945
500,0.8976001739501953,4071,1945
500,0.9285173416137695,3960,1945
500,0.961477518081665,3952,1945
1000,1.811234951019287,8743,1945
1000,1.8500502109527588,8907,1945
1000,1.8341352939605713,8734,1945
1000,1.813187837600708,8751,1945
1000,1.8640637397766113,8740,1945
1000,1.9787867069244385,8658,1945
1000,1.898970365524292,8740,1945
1000,1.7893037796020508,8703,1945
1000,1.8370888233184814,8684,1945
