,number,time
0,10,0.0010113716125488281
1,60,0.029921293258666992
2,110,0.18944811820983887
3,160,0.35709118843078613
4,210,1.0501980781555176
5,260,1.0242626667022705
6,310,1.2706048488616943
7,360,2.4564638137817383
8,410,3.2183852195739746
9,460,3.130601406097412
10,510,4.221736431121826
11,560,6.313080549240112
12,610,6.716089963912964
13,660,8.570098400115967
14,710,7.208746671676636
15,760,12.630305767059326
16,810,9.722012758255005
17,860,15.07071590423584
18,910,20.806636810302734
19,960,19.821022987365723
20,1010,22.90581774711609
